,class
698,19
699,19
700,4
701,21
702,21
703,21
704,12
705,8
706,19
707,4
708,19
709,19
710,1
711,2
712,2
713,2
714,2
715,2
716,2
717,4
718,2
719,2
720,2
721,4
722,2
723,2
724,2
725,2
726,2
727,19
728,18
729,1
730,16
731,1
732,19
733,19
734,2
735,2
736,2
737,2
738,11
739,2
740,6
741,2
742,2
743,6
744,2
745,2
746,19
747,25
748,3
749,3
750,19
751,14
752,2
753,12
754,2
755,6
756,9
757,2
758,2
759,2
760,2
761,6
762,2
763,2
764,2
765,2
766,19
767,13
768,19
769,9
770,19
771,27
772,22
773,22
774,4
775,2
776,4
777,16
778,13
779,9
780,9
781,19
782,9
783,12
784,19
785,9
786,24
787,19
788,9
789,12
790,12
791,9
792,24
793,9
794,9
795,19
796,19
797,9
798,19
799,19
800,19
801,19
802,19
803,9
804,13
805,13
806,13
807,13
808,13
809,13
810,13
811,13
812,13
813,9
814,13
815,13
816,13
817,13
818,9
819,13
820,13
821,13
822,19
823,13
824,13
825,13
826,13
827,13
828,13
829,13
830,9
831,19
832,19
833,6
834,9
835,9
836,6
837,11
838,13
839,13
840,13
841,13
842,19
843,19
844,13
845,9
846,21
847,13
848,13
849,13
850,13
851,13
852,13
853,13
854,13
855,13
856,13
857,19
858,13
859,13
860,9
861,13
862,13
863,13
864,13
865,19
866,27
867,27
868,19
869,13
870,11
871,7
872,27
873,7
874,18
875,26
876,21
877,2
878,21
879,21
880,15
881,3
882,19
883,25
884,3
885,2
886,2
887,2
888,2
889,21
890,2
891,2
892,2
893,2
894,2
895,2
896,2
897,2
898,2
899,2
900,2
901,9
902,19
903,6
904,26
905,16
906,24
907,26
908,6
909,9
910,26
911,9
912,26
913,26
914,26
915,12
916,6
917,13
918,13
919,13
920,13
921,13
922,13
923,13
924,13
925,13
926,16
927,6
928,13
929,13
930,13
931,13
932,13
933,13
934,13
935,13
936,13
937,22
938,13
939,13
940,13
941,13
942,13
943,13
944,13
945,13
946,13
947,13
948,9
949,9
950,6
951,19
952,9
953,9
954,9
955,24
956,6
957,13
958,13
959,13
960,9
961,9
962,24
963,1
964,6
965,13
966,13
967,13
968,13
969,13
970,13
971,13
972,11
973,13
974,13
975,13
976,13
977,13
978,13
979,13
980,13
981,13
982,13
983,13
984,13
985,13
986,16
987,13
988,13
989,13
990,13
991,13
992,13
993,13
994,13
995,13
996,13
997,13
998,13
999,13
1000,9
1001,13
1002,0
1003,13
1004,13
1005,13
1006,13
1007,13
1008,13
1009,13
1010,13
1011,13
1012,13
1013,13
1014,9
1015,13
1016,13
1017,13
1018,13
1019,13
1020,13
1021,13
1022,13
1023,13
1024,13
1025,13
1026,13
1027,13
1028,13
1029,19
1030,13
1031,9
1032,13
1033,13
1034,19
1035,13
1036,13
1037,13
1038,13
1039,13
1040,13
1041,13
1042,13
1043,13
1044,13
1045,13
1046,13
1047,13
1048,9
1049,9
1050,9
1051,9
1052,19
1053,24
1054,9
1055,9
1056,16
1057,9
1058,9
1059,9
1060,19
1061,9
1062,9
1063,6
1064,24
1065,19
1066,9
1067,9
1068,9
1069,24
1070,19
1071,19
1072,9
1073,9
1074,19
1075,19
1076,19
1077,9
1078,9
1079,9
1080,9
1081,9
1082,9
1083,12
1084,19
1085,26
1086,9
1087,9
1088,5
1089,5
1090,5
1091,5
1092,5
1093,5
1094,9
1095,9
1096,19
1097,24
1098,6
1099,9
1100,9
1101,9
1102,9
1103,9
1104,16
1105,9
1106,5
1107,5
1108,5
1109,5
1110,5
1111,5
1112,5
1113,12
1114,12
1115,25
1116,25
1117,25
1118,19
1119,2
1120,18
1121,3
1122,3
1123,19
1124,3
1125,3
1126,19
1127,6
1128,27
1129,27
1130,27
1131,27
1132,27
1133,27
1134,27
1135,27
1136,27
1137,27
1138,27
1139,27
1140,27
1141,27
1142,27
1143,8
1144,25
1145,19
1146,25
1147,7
1148,16
1149,2
1150,2
1151,2
1152,2
1153,12
1154,21
1155,19
1156,24
1157,9
1158,19
1159,9
1160,9
1161,19
1162,9
1163,9
1164,9
1165,13
1166,9
1167,9
1168,19
1169,9
1170,6
1171,9
1172,9
1173,24
1174,5
1175,5
1176,5
1177,5
1178,5
1179,5
1180,5
1181,5
1182,5
1183,5
1184,1
1185,6
1186,5
1187,5
1188,5
1189,5
1190,5
1191,5
1192,5
1193,5
1194,5
1195,5
1196,5
1197,5
1198,5
1199,5
1200,5
1201,5
1202,7
1203,5
1204,19
1205,5
1206,5
1207,5
1208,5
1209,5
1210,5
1211,5
1212,5
1213,5
1214,13
1215,13
1216,13
1217,13
1218,13
1219,13
1220,9
1221,13
1222,13
1223,13
1224,13
1225,13
1226,13
1227,13
1228,13
1229,13
1230,9
1231,9
1232,13
1233,9
1234,9
1235,19
1236,24
1237,9
1238,19
1239,9
1240,9
1241,24
1242,12
1243,26
1244,19
1245,9
1246,9
1247,24
1248,9
1249,24
1250,9
1251,9
1252,6
1253,26
1254,19
1255,24
1256,13
1257,19
1258,13
1259,13
1260,13
1261,13
1262,13
1263,13
1264,13
1265,16
1266,9
1267,9
1268,9
1269,24
1270,9
1271,9
1272,9
1273,9
1274,16
1275,16
1276,9
1277,9
1278,24
1279,24
1280,9
1281,9
1282,9
1283,9
1284,9
1285,9
1286,26
1287,9
1288,9
1289,9
1290,9
1291,9
1292,24
1293,9
1294,9
1295,6
1296,9
1297,9
1298,9
1299,19
1300,19
1301,13
1302,19
1303,13
1304,13
1305,13
1306,13
1307,9
1308,9
1309,9
1310,21
1311,9
1312,19
1313,24
1314,13
1315,13
1316,13
1317,13
1318,13
1319,13
1320,13
1321,13
1322,12
1323,6
1324,13
1325,13
1326,13
1327,13
1328,13
1329,6
1330,27
1331,9
1332,12
1333,13
1334,13
1335,19
1336,13
1337,19
1338,13
1339,13
1340,13
1341,13
1342,13
1343,13
1344,13
1345,13
1346,13
1347,13
1348,13
1349,19
1350,13
1351,13
1352,13
1353,6
1354,13
1355,13
1356,13
1357,13
1358,22
1359,22
1360,22
1361,22
1362,22
1363,9
1364,9
1365,9
1366,9
1367,9
1368,9
1369,9
1370,6
1371,9
1372,9
1373,9
1374,9
1375,16
1376,24
1377,13
1378,9
1379,24
1380,9
1381,9
1382,19
1383,24
1384,19
1385,9
1386,9
1387,9
1388,9
1389,9
1390,9
1391,9
1392,26
1393,9
1394,9
1395,9
1396,19
1397,19
1398,9
1399,6
1400,9
1401,9
1402,26
1403,26
1404,9
1405,13
1406,6
1407,13
1408,13
1409,13
1410,13
1411,9
1412,13
1413,13
1414,13
1415,13
1416,6
1417,13
1418,13
1419,13
1420,13
1421,13
1422,13
1423,13
1424,13
1425,9
1426,13
1427,13
1428,13
1429,13
1430,13
1431,24
1432,13
1433,13
1434,13
1435,13
1436,13
1437,13
1438,9
1439,13
1440,13
1441,13
1442,13
1443,19
1444,13
1445,19
1446,9
1447,9
1448,9
1449,9
1450,24
1451,9
1452,16
1453,9
1454,9
1455,19
1456,19
1457,9
1458,16
1459,9
1460,24
1461,9
1462,19
1463,9
1464,9
1465,9
1466,24
1467,19
1468,24
1469,19
1470,26
1471,9
1472,9
1473,9
1474,19
1475,24
1476,9
1477,9
1478,9
1479,9
1480,9
1481,2
1482,24
1483,16
1484,9
1485,9
1486,9
1487,24
1488,9
1489,21
1490,9
1491,24
1492,13
1493,13
1494,13
1495,13
1496,13
1497,13
1498,13
1499,13
1500,13
1501,13
1502,13
1503,13
1504,13
1505,13
1506,13
1507,13
1508,13
1509,13
1510,13
1511,13
1512,13
1513,13
1514,13
1515,13
1516,13
1517,13
1518,13
1519,13
1520,13
1521,13
1522,16
1523,13
1524,13
1525,13
1526,19
1527,24
1528,9
1529,9
1530,9
1531,19
1532,24
1533,19
1534,13
1535,13
1536,13
1537,16
1538,13
1539,13
1540,13
1541,12
1542,13
1543,13
1544,13
1545,13
1546,13
1547,16
1548,13
1549,13
1550,19
1551,9
1552,9
1553,24
1554,9
1555,13
1556,13
1557,13
1558,13
1559,13
1560,19
1561,13
1562,9
1563,9
1564,1
1565,9
1566,6
1567,26
1568,24
1569,9
1570,9
1571,13
1572,16
1573,13
1574,13
1575,13
1576,1
1577,13
1578,13
1579,13
1580,13
1581,13
1582,13
1583,9
1584,9
1585,24
1586,9
1587,13
1588,13
1589,13
1590,13
1591,13
1592,13
1593,13
1594,13
1595,13
1596,13
1597,13
1598,13
1599,13
1600,13
1601,13
1602,13
1603,13
1604,13
1605,13
1606,13
1607,19
1608,19
1609,13
1610,13
1611,13
1612,13
1613,19
1614,24
1615,9
1616,9
1617,9
1618,24
1619,9
1620,9
1621,9
1622,19
1623,19
1624,19
1625,9
1626,9
1627,13
1628,13
1629,13
1630,19
1631,13
1632,13
1633,18
1634,18
1635,18
1636,18
1637,18
1638,18
1639,18
1640,18
1641,16
1642,1
1643,1
1644,12
1645,19
1646,18
1647,18
1648,12
1649,19
1650,18
1651,12
1652,12
1653,16
1654,1
1655,1
1656,18
1657,24
1658,18
1659,26
1660,18
1661,18
1662,18
1663,19
1664,18
1665,18
1666,18
1667,18
1668,18
1669,12
1670,16
1671,19
1672,18
1673,16
1674,18
1675,18
1676,18
1677,19
1678,18
1679,16
1680,18
1681,18
1682,16
1683,18
1684,18
1685,16
1686,1
1687,19
1688,18
1689,16
1690,18
1691,19
1692,1
1693,9
1694,1
1695,7
1696,16
1697,18
1698,18
1699,18
1700,18
1701,18
1702,18
1703,18
1704,1
1705,16
1706,18
1707,16
1708,18
1709,16
1710,24
1711,16
1712,12
1713,16
1714,18
1715,18
1716,1
1717,16
1718,19
1719,18
1720,18
1721,18
1722,18
1723,18
1724,18
1725,19
1726,18
1727,18
1728,12
1729,18
1730,12
1731,1
1732,19
1733,12
1734,19
1735,1
1736,26
1737,18
1738,19
1739,18
1740,18
1741,2
1742,18
1743,16
1744,27
1745,27
1746,27
1747,27
1748,27
1749,27
1750,27
1751,27
1752,27
1753,27
1754,27
1755,27
1756,27
1757,27
1758,27
1759,27
1760,27
1761,27
1762,27
1763,27
1764,27
1765,27
1766,27
1767,27
1768,27
1769,8
1770,27
1771,27
1772,27
1773,27
1774,27
1775,27
1776,27
1777,27
1778,27
1779,27
1780,27
1781,27
1782,27
1783,27
1784,27
1785,27
1786,27
1787,9
1788,27
1789,27
1790,27
1791,27
1792,27
1793,27
1794,27
1795,0
1796,27
1797,27
1798,27
1799,27
1800,27
1801,27
1802,27
1803,27
1804,27
1805,27
1806,27
1807,27
1808,27
1809,6
1810,27
1811,27
1812,27
1813,27
1814,27
1815,27
1816,27
1817,7
1818,13
1819,7
1820,7
1821,7
1822,7
1823,7
1824,7
1825,7
1826,7
1827,7
1828,12
1829,7
1830,7
1831,7
1832,7
1833,7
1834,7
1835,7
1836,7
1837,7
1838,7
1839,7
1840,7
1841,7
1842,7
1843,7
1844,7
1845,7
1846,7
1847,12
1848,7
1849,7
1850,7
1851,13
1852,21
1853,7
1854,7
1855,7
1856,7
1857,7
1858,12
1859,19
1860,3
1861,17
1862,19
1863,3
1864,17
1865,3
1866,3
1867,3
1868,3
1869,3
1870,3
1871,19
1872,17
1873,3
1874,17
1875,17
1876,19
1877,3
1878,17
1879,3
1880,19
1881,17
1882,3
1883,3
1884,3
1885,3
1886,3
1887,3
1888,3
1889,3
1890,17
1891,19
1892,3
1893,17
1894,19
1895,3
1896,19
1897,17
1898,3
1899,3
1900,3
1901,18
1902,12
1903,18
1904,18
1905,18
1906,16
1907,12
1908,18
1909,12
1910,12
1911,18
1912,18
1913,18
1914,18
1915,19
1916,18
1917,18
1918,1
1919,18
1920,16
1921,18
1922,18
1923,18
1924,18
1925,18
1926,18
1927,24
1928,19
1929,12
1930,1
1931,6
1932,18
1933,18
1934,12
1935,7
1936,18
1937,26
1938,16
1939,24
1940,18
1941,16
1942,16
1943,18
1944,1
1945,6
1946,12
1947,18
1948,1
1949,24
1950,1
1951,18
1952,18
1953,18
1954,1
1955,18
1956,16
1957,16
1958,1
1959,18
1960,18
1961,19
1962,16
1963,18
1964,16
1965,16
1966,18
1967,18
1968,16
1969,18
1970,1
1971,16
1972,19
1973,18
1974,1
1975,18
1976,18
1977,9
1978,16
1979,1
1980,18
1981,18
1982,16
1983,12
1984,24
1985,18
1986,18
1987,18
1988,16
1989,18
1990,16
1991,18
1992,24
1993,18
1994,18
1995,1
1996,18
1997,18
1998,18
1999,1
2000,12
2001,18
2002,18
2003,18
2004,18
2005,18
2006,18
2007,18
2008,24
2009,18
2010,18
2011,3
2012,19
2013,17
2014,3
2015,3
2016,3
2017,3
2018,3
2019,3
2020,3
2021,3
2022,6
2023,17
2024,3
2025,3
2026,3
2027,3
2028,3
2029,17
2030,3
2031,17
2032,3
2033,3
2034,3
2035,3
2036,3
2037,3
2038,17
2039,3
2040,3
2041,3
2042,3
2043,17
2044,3
2045,3
2046,3
2047,3
2048,17
2049,17
2050,3
2051,3
2052,3
2053,3
2054,3
2055,3
2056,3
2057,3
2058,3
2059,3
2060,3
2061,3
2062,17
2063,3
2064,17
2065,3
2066,17
2067,17
2068,3
2069,3
2070,3
2071,3
2072,3
2073,17
2074,3
2075,17
2076,17
2077,3
2078,3
2079,17
2080,3
2081,3
2082,3
2083,3
2084,17
2085,17
2086,3
2087,3
2088,3
2089,3
2090,3
2091,3
2092,1
2093,17
2094,1
2095,3
2096,17
2097,3
2098,3
2099,17
2100,17
2101,17
2102,3
2103,3
2104,17
2105,3
2106,3
2107,3
2108,3
2109,3
2110,3
2111,3
2112,3
2113,3
2114,3
2115,17
2116,17
2117,17
2118,3
2119,3
2120,3
2121,3
2122,3
2123,3
2124,3
2125,3
2126,17
2127,3
2128,3
2129,3
2130,17
2131,3
2132,3
2133,17
2134,3
2135,17
2136,3
2137,3
2138,3
2139,3
2140,17
2141,17
2142,3
2143,17
2144,3
2145,23
2146,23
2147,23
2148,23
2149,23
2150,23
2151,23
2152,23
2153,23
2154,23
2155,23
2156,23
2157,23
2158,23
2159,23
2160,23
2161,23
2162,23
2163,23
2164,23
2165,23
2166,23
2167,23
2168,23
2169,23
2170,23
2171,23
2172,23
2173,23
2174,23
2175,23
2176,23
2177,23
2178,23
2179,23
2180,23
2181,23
2182,23
2183,20
2184,23
2185,23
2186,23
2187,20
2188,23
2189,23
2190,23
2191,23
2192,23
2193,23
2194,23
2195,23
2196,23
2197,23
2198,23
2199,23
2200,23
2201,23
2202,23
2203,23
2204,23
2205,23
2206,23
2207,23
2208,23
2209,23
2210,23
2211,23
2212,23
2213,23
2214,23
2215,23
2216,23
2217,23
2218,23
2219,23
2220,23
2221,23
2222,23
2223,23
2224,23
2225,23
2226,23
2227,23
2228,23
2229,23
2230,23
2231,23
2232,23
2233,23
2234,23
2235,23
2236,23
2237,23
2238,23
2239,23
2240,23
2241,23
2242,23
2243,23
2244,23
2245,23
2246,23
2247,23
2248,23
2249,23
2250,23
2251,23
2252,23
2253,23
2254,23
2255,23
2256,23
2257,23
2258,23
2259,23
2260,23
2261,23
2262,23
2263,23
2264,23
2265,23
2266,23
2267,23
2268,23
2269,20
2270,23
2271,23
2272,23
2273,23
2274,23
2275,23
2276,23
2277,23
2278,23
2279,23
2280,23
2281,23
2282,23
2283,23
2284,23
2285,23
2286,23
2287,23
2288,23
2289,23
2290,23
2291,23
2292,23
2293,23
2294,23
2295,23
2296,23
2297,23
2298,23
2299,23
2300,23
2301,23
2302,23
2303,20
2304,23
2305,18
2306,18
2307,18
2308,0
2309,18
2310,7
2311,16
2312,1
2313,18
2314,19
2315,18
2316,19
2317,18
2318,18
2319,22
2320,18
2321,2
2322,18
2323,18
2324,18
2325,18
2326,18
2327,1
2328,18
2329,18
2330,1
2331,18
2332,18
2333,18
2334,18
2335,24
2336,18
2337,18
2338,18
2339,13
2340,7
2341,18
2342,19
2343,19
2344,18
2345,18
2346,16
2347,2
2348,18
2349,19
2350,18
2351,18
2352,17
2353,3
2354,1
2355,17
2356,3
2357,17
2358,3
2359,3
2360,3
2361,19
2362,3
2363,17
2364,3
2365,19
2366,19
2367,3
2368,3
2369,3
2370,19
2371,3
2372,3
2373,3
2374,3
2375,3
2376,3
2377,1
2378,3
2379,3
2380,17
2381,3
2382,3
2383,3
2384,3
2385,3
2386,3
2387,3
2388,3
2389,3
2390,3
2391,3
2392,3
2393,3
2394,3
2395,17
2396,3
2397,3
2398,3
2399,3
2400,3
2401,3
2402,3
2403,3
2404,19
2405,3
2406,3
2407,3
2408,3
2409,3
2410,1
2411,3
2412,3
2413,3
2414,3
2415,3
2416,3
2417,3
2418,3
2419,19
2420,3
2421,3
2422,3
2423,3
2424,3
2425,3
2426,3
2427,3
2428,3
2429,3
2430,3
2431,3
2432,3
2433,3
2434,3
2435,3
2436,3
2437,3
2438,3
2439,3
2440,3
2441,3
2442,3
2443,3
2444,17
2445,3
2446,19
2447,3
2448,3
2449,3
2450,3
2451,12
2452,12
2453,7
2454,7
2455,7
2456,21
2457,7
2458,7
2459,7
2460,7
2461,7
2462,7
2463,7
2464,7
2465,21
2466,13
2467,7
2468,7
2469,7
2470,19
2471,7
2472,7
2473,19
2474,7
2475,7
2476,7
2477,19
2478,7
2479,1
2480,12
2481,7
2482,7
2483,19
2484,19
2485,7
2486,7
2487,27
2488,27
2489,27
2490,27
2491,27
2492,8
2493,27
2494,27
2495,8
2496,8
2497,27
2498,27
2499,8
2500,27
2501,27
2502,27
2503,27
2504,27
2505,27
2506,27
2507,27
2508,27
2509,8
2510,6
2511,27
2512,27
2513,27
2514,27
2515,27
2516,3
2517,17
2518,18
2519,24
2520,18
2521,18
2522,1
2523,18
2524,1
2525,12
2526,24
2527,18
2528,6
2529,18
2530,12
2531,12
2532,12
2533,18
2534,18
2535,9
2536,18
2537,7
2538,18
2539,18
2540,1
2541,1
2542,18
2543,18
2544,12
2545,16
2546,18
2547,16
2548,18
2549,18
2550,18
2551,18
2552,18
2553,12
2554,18
2555,18
2556,18
2557,18
2558,18
2559,24
2560,16
2561,18
2562,19
2563,18
2564,12
2565,16
2566,12
2567,18
2568,9
2569,18
2570,18
2571,18
2572,18
2573,18
2574,19
2575,24
2576,18
2577,18
2578,18
2579,16
2580,18
2581,1
2582,1
2583,12
2584,18
2585,18
2586,19
2587,12
2588,18
2589,18
2590,1
2591,18
2592,24
2593,18
2594,18
2595,18
2596,16
2597,18
2598,12
2599,18
2600,16
2601,7
2602,7
2603,7
2604,7
2605,7
2606,7
2607,12
2608,7
2609,7
2610,7
2611,7
2612,7
2613,7
2614,7
2615,7
2616,19
2617,7
2618,7
2619,7
2620,7
2621,7
2622,7
2623,7
2624,7
2625,7
2626,7
2627,7
2628,12
2629,7
2630,7
2631,7
2632,7
2633,7
2634,7
2635,7
2636,7
2637,1
2638,19
2639,12
2640,1
2641,6
2642,18
2643,7
2644,18
2645,18
2646,12
2647,1
2648,18
2649,19
2650,18
2651,18
2652,1
2653,6
2654,18
2655,18
2656,16
2657,18
2658,9
2659,9
2660,19
2661,24
2662,18
2663,18
2664,18
2665,19
2666,18
2667,19
2668,16
2669,18
2670,18
2671,18
2672,18
2673,18
2674,18
2675,18
2676,18
2677,18
2678,18
2679,18
2680,18
2681,18
2682,12
2683,18
2684,12
2685,18
2686,1
2687,18
2688,18
2689,18
2690,6
2691,1
2692,9
2693,18
2694,1
2695,18
2696,18
2697,18
2698,19
2699,1
2700,24
2701,18
2702,18
2703,18
2704,18
2705,16
2706,18
2707,26
2708,27
2709,27
2710,3
2711,17
2712,12
2713,7
2714,7
2715,7
2716,7
2717,7
2718,7
2719,7
2720,7
2721,7
2722,7
2723,7
2724,7
2725,7
2726,7
2727,7
2728,7
2729,7
2730,16
2731,7
2732,7
2733,7
2734,7
2735,7
2736,12
2737,7
2738,7
2739,7
2740,19
2741,7
2742,7
2743,7
2744,7
2745,7
2746,12
2747,7
2748,26
2749,12
2750,7
2751,7
2752,7
2753,7
2754,7
2755,7
2756,7
2757,7
2758,7
2759,7
2760,7
2761,7
2762,12
2763,7
2764,7
2765,4
2766,7
2767,12
2768,7
2769,7
2770,7
2771,7
2772,7
2773,12
2774,3
2775,3
2776,3
2777,19
2778,17
2779,3
2780,3
2781,3
2782,3
2783,3
2784,3
2785,3
2786,3
2787,19
2788,17
2789,17
2790,3
2791,3
2792,3
2793,3
2794,3
2795,17
2796,17
2797,3
2798,3
2799,3
2800,3
2801,17
2802,13
2803,2
2804,27
2805,27
2806,27
2807,27
2808,2
2809,19
2810,2
2811,19
2812,19
2813,27
2814,19
2815,27
2816,27
2817,27
2818,27
2819,27
2820,27
2821,27
2822,27
2823,27
2824,27
2825,27
2826,27
2827,27
2828,27
2829,27
2830,19
2831,27
2832,27
2833,27
2834,27
2835,27
2836,27
2837,27
2838,27
2839,27
2840,27
2841,27
2842,27
2843,27
2844,27
2845,27
2846,27
2847,27
2848,27
2849,27
2850,27
2851,27
2852,27
2853,27
2854,27
2855,27
2856,19
2857,27
2858,21
2859,27
2860,27
2861,27
2862,27
2863,27
2864,27
2865,27
2866,9
2867,27
2868,27
2869,27
2870,27
2871,27
2872,27
2873,27
2874,19
2875,27
2876,27
2877,27
2878,27
2879,8
2880,27
2881,27
2882,27
2883,27
2884,27
2885,27
2886,27
2887,27
2888,27
2889,27
2890,27
2891,27
2892,27
2893,27
2894,27
2895,27
2896,27
2897,27
2898,27
2899,27
2900,27
2901,27
2902,27
2903,27
2904,27
2905,27
2906,27
2907,27
2908,27
2909,27
2910,27
2911,27
2912,27
2913,27
2914,27
2915,8
2916,27
2917,27
2918,27
2919,27
2920,27
2921,27
2922,27
2923,27
2924,27
2925,27
2926,26
2927,27
2928,27
2929,27
2930,27
2931,27
2932,27
2933,27
2934,27
2935,27
2936,27
2937,27
2938,1
2939,7
2940,7
2941,7
2942,7
2943,7
2944,7
2945,7
2946,7
2947,19
2948,7
2949,7
2950,7
2951,7
2952,7
2953,7
2954,7
2955,7
2956,7
2957,7
2958,7
2959,7
2960,12
2961,7
2962,7
2963,7
2964,7
2965,7
2966,7
2967,7
2968,7
2969,7
2970,7
2971,7
2972,7
2973,7
2974,7
2975,7
2976,12
2977,7
2978,7
2979,7
2980,7
2981,12
2982,7
2983,12
2984,7
2985,7
2986,7
2987,7
2988,21
2989,7
2990,7
2991,19
2992,12
2993,12
2994,12
2995,12
2996,18
2997,1
